# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jul 12 08:37:58 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmassj,pl_eqt,st_spectype,st_teff,st_mass,st_lum
HD 113538 b,HD 113538,1,2,663.20000000,1.240000,13.200,0.36000,,K9 V,4462.00,0.58,-1.046
HD 113538 c,HD 113538,1,2,1818.00000000,2.440000,13.800,0.93000,,K9 V,4462.00,0.58,-1.046
HD 113996 b,HD 113996,2,1,610.20000000,1.600000,12.700,6.30000,,K5 III,4181.00,1.49,2.464
HD 114082 b,HD 114082,1,1,109.75000000,0.510900,11.209,8.00000,,F3 V,6651.00,1.47,0.583
HD 114386 b,HD 114386,1,1,937.70001000,1.730000,13.700,1.14000,,K3V,4836.00,0.60,-0.540
HD 114613 b,HD 114613,1,1,4000.00000000,5.340000,13.100,0.35700,,G4 IV,5641.00,1.27,0.608
HD 114729 b,HD 114729,2,1,1121.79000000,2.067000,13.900,0.82500,,G0 V,5844.00,0.94,0.421
HD 114783 b,HD 114783,1,2,493.70000000,1.160000,13.700,1.10000,,K0,5135.00,0.85,-0.372
HD 114783 c,HD 114783,1,2,4319.00000000,4.970000,14.100,0.61100,,K1V,5126.74,0.85,-0.373
HD 11505 b,HD 11505,1,1,32669.22247000,20.247000,12.600,7.89900,,,5757.15,1.03,0.151
HD 11506 b,HD 11506,1,3,1613.74017000,2.800000,12.900,4.88000,,G0 V,6183.00,1.12,0.337
HD 11506 c,HD 11506,1,3,223.95986000,0.750000,13.400,0.36900,,G0 V,6055.00,1.12,0.337
HD 11506 d,HD 11506,1,3,14723.57452000,12.235000,12.600,7.38300,,G0 V,6183.00,1.12,0.337
HD 115404 A b,HD 115404 A,1,2,10.49488000,0.088000,6.090,0.09700,,K2V,5019.17,0.83,-0.520
HD 115404 A c,HD 115404 A,1,2,15319.22517000,11.364000,12.500,10.31900,,K2V,5019.17,0.83,-0.520
HD 115954 b,HD 115954,1,1,3700.00000000,5.000000,12.600,8.45000,145,G0 V,5957.00,1.18,0.481
HD 116029 b,HD 116029,2,2,670.00000000,1.650000,13.600,1.40000,,K0,4819.00,0.83,1.053
HD 116029 c,HD 116029,2,2,907.00000000,,13.700,1.27000,,K0,4951.00,1.33,1.063
HD 117207 b,HD 117207,1,1,2621.75000000,3.787000,13.400,2.10600,,G7 IV-V,5732.00,1.05,0.066
HD 11755 b,HD 11755,1,1,433.70001000,1.090000,12.800,5.63000,,G5,4312.00,0.72,2.169
HD 117618 b,HD 117618,1,1,25.80000000,0.180000,8.590,0.17400,,G2 V,5990.00,1.08,0.213
HD 118203 b,HD 118203,1,1,6.13350000,0.070000,13.138,2.79000,1509,K0,5864.00,1.84,0.646
HD 11964 b,HD 11964,2,2,1945.00000000,3.160000,14.100,0.62200,,G9 V CN+1,5303.00,0.91,0.459
HD 11964 c,HD 11964,2,2,37.91000000,0.229000,5.380,0.07880,,G9 V CN+1,5303.00,0.91,0.459
HD 11977 b,HD 11977,1,1,711.00000000,1.930000,12.700,6.54000,,G8 III/IV,4970.00,1.91,1.839
HD 120084 b,HD 120084,1,1,2085.10024000,4.341000,12.800,5.76200,,G7 III,4892.00,2.50,1.640
HD 121504 b,HD 121504,1,1,63.33000000,0.330000,13.600,1.51000,,G2 V,6027.00,1.62,0.190
HD 12235 b,HD 12235,1,2,4.36305000,0.054000,3.230,0.03300,,,5986.00,1.10,0.575
HD 12235 c,HD 12235,1,2,36336.70679000,22.210000,12.500,9.86600,,,5986.00,1.10,0.575
HD 122562 c,HD 122562,1,1,84.96276000,0.406000,10.100,0.23000,,,4956.00,1.24,0.407
HD 124330 b,HD 124330,1,1,270.66000000,0.860000,14.000,0.75000,,G4 IV,5873.00,1.15,0.338
HD 12484 b,HD 12484,1,1,58.83000000,0.297000,13.200,2.98000,,F8,5920.00,1.01,0.022
HD 125271 b,HD 125271,1,1,14901.99295000,10.817000,12.400,10.90400,,,4703.93,0.75,-0.604
HD 125390 b,HD 125390,1,1,1757.39151000,3.496000,11.900,27.20400,,G7 III,4882.00,1.82,1.124
HD 125595 b,HD 125595,1,1,9.67370000,0.080000,2.400,0.02000,,K4 V,4691.00,0.29,-0.617
HD 125612 b,HD 125612,2,3,557.69994000,1.349000,13.200,2.97400,,G3 V,5900.00,1.05,0.060
HD 125612 c,HD 125612,2,3,4.15466000,0.051000,4.070,0.04900,,G3 V,5900.00,1.05,0.060
HD 125612 d,HD 125612,2,3,2822.72698000,3.982000,12.700,7.17800,,G3 V,5900.00,1.05,0.060
HD 12648 b,HD 12648,1,1,133.60001000,0.540000,13.400,1.96000,,G5,4835.00,0.67,1.753
HD 126525 b,HD 126525,1,1,960.41000000,1.837000,10.300,0.23700,,G4 V,5638.00,0.90,-0.040
HD 12661 b,HD 12661,1,2,262.70862000,0.840000,13.300,2.43000,,K0,5645.00,1.20,0.133
HD 12661 c,HD 12661,1,2,1708.00000000,2.814500,13.400,1.81200,,K0,5748.00,1.02,0.063
HD 126614 b,HD 126614,3,1,1257.25303000,2.249000,12.700,0.33900,,G8 IV,5568.00,0.96,0.083
HD 127506 b,HD 127506,1,1,65.78395000,0.287000,5.670,0.08600,,K3V,4595.32,0.73,-0.663
HD 128311 b,HD 128311,1,2,453.01900000,1.084000,13.500,1.76900,,K0,4965.00,0.83,-0.512
HD 128311 c,HD 128311,1,2,921.53800000,1.740000,13.000,3.78900,,K0,4965.00,0.83,-0.512
HD 128356 b,HD 128356,1,1,298.20000000,0.870000,13.900,0.89000,,K3 V,4875.00,0.65,-0.444
HD 129445 b,HD 129445,1,1,1840.00000000,2.900000,13.300,2.51000,,G6 V,5646.00,0.99,0.090
HD 130322 b,HD 130322,1,1,10.70871000,0.092500,13.700,1.15000,720,K0 V,5387.00,0.92,-0.235
HD 131496 b,HD 131496,1,1,896.00000000,2.010000,13.400,1.80000,,K0,4846.00,1.34,0.991
HD 13167 b,HD 13167,1,1,2613.00000000,4.100000,13.100,3.31000,,G3 V,5671.00,1.35,0.960
HD 13189 b,HD 13189,1,1,471.60001000,1.250000,12.400,10.95000,,K2,4175.00,2.24,2.636
HD 132406 b,HD 132406,1,1,974.00000000,1.980000,12.700,6.20000,,G0 V,5783.00,1.03,0.260
HD 132563 b,HD 132563,3,1,1544.00000000,2.620000,13.600,1.49000,,F8,6289.00,1.23,0.374
HD 133131 A b,HD 133131 A,2,3,649.00000000,1.440000,13.600,1.42000,,G2 V,5799.00,0.95,-0.017
HD 133131 A c,HD 133131 A,2,3,3568.00000000,4.490000,14.300,0.42000,,G2 V,5799.00,0.95,-0.017
HD 133131 B b,HD 133131 B,2,3,5769.00000000,6.150000,13.300,2.50000,,G2 V,5805.00,0.93,-0.009
HD 134060 b,HD 134060,1,2,3.26960000,0.044400,3.160,0.03180,,G3 IV,5966.00,1.09,0.158
HD 134060 c,HD 134060,1,2,1291.56460000,2.392800,5.910,0.09220,,G3 IV,5966.00,1.09,0.158
HD 134987 b,HD 134987,1,2,258.17999000,0.810000,13.500,1.61000,,G5 V,5736.00,1.10,0.255
HD 134987 c,HD 134987,1,2,5000.00000000,5.800000,13.900,0.82000,,G5 V,5585.00,1.10,0.255
HD 135872 b,HD 135872,1,1,2422.32597000,4.172000,12.800,5.48900,,,4992.00,1.65,0.937
HD 136118 b,HD 136118,1,1,1187.59765000,2.327000,12.300,13.10200,,F7 V,6097.00,1.18,0.569
HD 136352 b,HD 136352,1,3,11.57797000,0.096400,1.664,0.01485,905,G4 V,5664.00,0.87,0.016
HD 136352 c,HD 136352,1,3,27.59221000,0.172100,2.916,0.03536,677,G4 V,5664.00,0.87,0.016
HD 136352 d,HD 136352,1,3,107.24500000,0.425000,2.562,0.02775,431,G4 V,5664.00,0.87,0.016
HD 136418 b,HD 136418,1,1,464.29999000,1.290000,13.300,2.14000,,G5,4989.00,1.48,0.833
HD 136925 b,HD 136925,1,1,4540.00000000,5.130000,13.900,0.84000,,,5773.19,0.88,0.134
HD 13724 c,HD 13724,1,1,142.22895000,0.534000,8.180,0.16000,,,5835.31,1.00,0.055
HD 137388 b,HD 137388,1,1,330.00000000,0.890000,9.320,0.20000,,K2 IV,5181.00,0.68,-0.337
HD 137496 b,HD 137496,1,2,1.62116000,0.027320,1.310,0.01271,2130,G,5799.00,1.04,0.366
HD 137496 c,HD 137496,1,2,479.90000000,1.216300,12.600,7.66000,370,G,5799.00,1.04,0.366
HD 13808 b,HD 13808,1,2,14.18150000,0.105190,3.350,0.03524,,K2 V,5035.00,0.77,-0.435
HD 13808 c,HD 13808,1,2,53.75300000,0.255400,3.130,0.03134,,K2 V,5035.00,0.77,-0.435
HD 13908 b,HD 13908,1,2,19.38200000,0.154000,13.900,0.86500,,F8 V,6255.00,1.29,0.602
HD 13908 c,HD 13908,1,2,931.00000000,2.030000,12.800,5.13000,,F8 V,6255.00,1.29,0.602
HD 13931 b,HD 13931,1,1,4218.00000000,5.150000,13.200,2.80000,,G0,5867.00,1.30,0.196
HD 139357 b,HD 139357,1,1,1124.79139000,2.949000,12.100,19.87100,,K4 III,4700.00,2.69,1.823
HD 1397 b,HD 1397,1,1,11.53533000,0.109700,11.500,0.41500,1228,G5 III/IV,5521.00,1.32,0.660
HD 14067 b,HD 14067,1,1,2721.23479000,5.236000,12.200,15.73700,,G9 III,4815.00,2.58,1.898
HD 140901 b,HD 140901,1,2,9.02378000,0.085000,4.070,0.04900,,G6IV,5610.00,0.99,-0.102
HD 140901 c,HD 140901,1,2,7417.50547000,7.421000,12.700,6.28400,,G6IV,5610.00,0.99,-0.102
HD 141004 b,HD 141004,1,1,15.50830000,0.123800,3.770,0.04290,,G0Vvar,5885.38,1.05,0.346
HD 141399 b,HD 141399,1,4,94.44000000,0.415000,14.300,0.45100,,K0,5600.00,1.07,0.201
HD 141399 c,HD 141399,1,4,201.99000000,0.689000,13.600,1.33000,,K0,5600.00,1.07,0.201
HD 141399 d,HD 141399,1,4,1069.80000000,2.090000,13.700,1.18000,,K0,5600.00,1.07,0.201
HD 141399 e,HD 141399,1,4,5000.00000000,5.000000,14.100,0.66000,,K0,5600.00,1.07,0.201
HD 141937 b,HD 141937,1,1,653.21997000,1.500000,12.500,9.69000,,G2/G3 V,5870.00,1.09,0.022
HD 142 A d,HD 142,2,3,108.45299000,0.474000,10.900,0.26000,,F7V,6273.00,1.21,0.474
HD 142 b,HD 142,2,3,351.43394000,1.039000,13.700,1.24900,,G1 IV,6245.00,1.21,0.474
HD 142 c,HD 142,2,3,10159.64279000,9.811000,12.400,10.90100,,F7V,6245.00,1.21,0.474
HD 142022 A b,HD 142022 A,2,1,1928.00000000,2.930000,12.900,4.51000,,G9 IV-V,5421.00,0.90,0.004
HD 142245 b,HD 142245,3,1,1299.00000000,2.780000,13.100,3.07000,,K0,4922.00,3.50,1.130
HD 142415 b,HD 142415,1,1,386.29999000,1.060000,13.500,1.67000,,G1 V,5940.00,1.07,0.060
HD 143105 b,HD 143105,1,1,2.19740000,0.037900,13.700,1.21000,,F5,6380.00,1.51,0.556
HD 143361 b,HD 143361,1,1,1039.15000000,1.988000,12.900,4.35000,,G6 V,5507.00,0.97,-0.092
HD 144899 b,HD 144899,1,1,40.43914000,0.242000,4.770,0.06400,,,6126.00,1.16,0.537
HD 145377 b,HD 145377,1,1,103.95000000,0.450000,12.800,6.02000,,G3 V,6014.00,1.20,0.193
HD 145457 b,HD 145457,1,1,176.30000000,0.760000,13.300,2.23000,,K0,4769.00,1.23,1.655
HD 145675 c,14 Her,1,2,15732.45889000,11.924000,12.900,5.02500,,K0V,5314.94,0.91,-0.151
HD 145934 b,HD 145934,1,1,2751.53433000,4.890000,13.400,2.07200,,K0,4823.75,2.06,1.355
HD 1461 b,HD 1461,1,2,5.77152000,0.063400,2.420,0.02026,,G0 V,5765.00,1.02,0.095
HD 1461 c,HD 1461,1,2,13.50520000,0.111700,2.230,0.01759,,G0 V,5765.00,1.02,0.097
HD 147018 b,HD 147018,1,2,44.23600000,0.238800,13.400,2.12000,,G9 V,5441.00,0.93,-0.148
HD 147018 c,HD 147018,1,2,1008.00000000,1.922000,12.700,6.56000,,G9 V,5441.00,0.93,-0.148
HD 147379 b,HD 147379,2,1,86.78000000,0.323000,5.820,0.08983,,M1,4156.00,0.60,-0.971
HD 147513 b,HD 147513,2,1,528.40000000,1.320000,13.700,1.21000,,G3/5V,5883.00,1.11,-0.010
HD 14787 b,HD 14787,1,1,676.60000000,1.700000,13.700,1.12100,,G5,4946.00,1.43,1.115
HD 147873 b,HD 147873,2,2,116.59600000,0.522000,12.800,5.14000,,G1 V,5972.00,1.38,0.777
HD 147873 c,HD 147873,2,2,491.54000000,1.360000,13.300,2.30000,,G1 V,5972.00,1.38,0.777
HD 148156 b,HD 148156,1,1,1027.00000000,2.450000,13.900,0.85000,,G0/2 V,6308.00,1.22,0.250
HD 148164 b,HD 148164,1,2,328.55000000,0.993000,13.700,1.23000,,F8,6032.00,1.21,0.330
HD 148164 c,HD 148164,1,2,5062.00000000,6.150000,12.800,5.16000,,F8,6032.00,1.21,0.330
HD 148427 b,HD 148427,1,1,331.50000000,1.040000,13.600,1.30000,,K0 III/IV,5025.00,1.64,0.780
HD 149026 b,HD 149026,1,1,2.87589000,0.043640,8.295,0.38000,1626,G0,6179.00,1.42,0.480
HD 149143 b,HD 149143,1,1,4.07182000,0.053000,13.600,1.33000,,G0,5856.00,1.20,0.350
HD 149806 b,HD 149806,1,1,16521.52778000,12.404000,12.300,12.59700,,K0V,5352.05,0.93,-0.245
HD 150010 b,HD 150010,1,1,562.00000000,1.400000,13.300,2.40000,,K2 III,4153.00,1.30,1.982
HD 1502 b,HD 1502,1,1,428.50000000,1.262000,13.200,2.75000,,K0,4947.00,1.46,1.064
HD 150706 b,HD 150706,1,1,5894.00000000,6.700000,13.300,2.43000,,G0 V,5961.00,1.17,0.032
HD 151450 b,HD 151450,1,2,21.89288000,0.160000,6.940,0.12100,,,6091.98,1.14,0.231
HD 151450 c,HD 151450,1,2,18144.76236000,14.131000,12.800,5.14800,,,6091.98,1.14,0.231
HD 152079 b,HD 152079,1,1,2918.92000000,4.187000,13.200,2.66100,,G6 V,5907.00,1.15,0.107
HD 152581 b,HD 152581,1,1,686.50000000,1.660000,13.400,1.86900,,K0,5027.00,1.30,1.173
HD 152843 b,HD 152843,1,2,11.62640000,0.105300,3.410,0.03637,,G0,6310.00,1.15,0.450
HD 152843 c,HD 152843,1,2,24.38000000,,5.830,0.08652,253,G0,6310.00,1.15,0.450
HD 15337 b,HD 15337,1,2,4.75615000,0.052200,1.640,0.02363,1001,K1 V,5125.00,0.90,-0.326
HD 15337 c,HD 15337,1,2,17.17840000,0.126800,2.390,0.02552,642,K1 V,5125.00,0.90,-0.326
HD 153557 b,HD 153557,1,3,7.29903000,0.068000,4.770,0.06400,,K0,4837.00,0.79,-0.562
HD 153557 c,HD 153557,1,3,15.27018000,0.111000,4.360,0.05500,,K0,4837.00,0.79,-0.562
HD 153557 d,HD 153557,1,3,40654.64809000,21.449000,11.900,27.45400,,K0,4837.00,0.79,-0.562
HD 153950 b,HD 153950,1,1,499.39999000,1.280000,13.200,2.95000,,F8 V,6124.00,1.25,0.346
HD 154088 b,HD 154088,1,1,18.56000000,0.134000,2.460,0.02077,,K0 IV-V,5374.00,0.91,-0.131
HD 154345 b,HD 154345,1,1,3341.55884000,4.210000,13.700,1.19000,,G9,5468.00,0.71,-0.219
HD 154672 b,HD 154672,1,1,163.94000000,0.600000,12.800,5.37000,,G3 IV,5743.00,1.18,0.257
HD 154857 b,HD 154857,1,2,408.60001000,1.290000,13.300,2.45000,,G5 V,5589.00,1.96,0.663
HD 154857 c,HD 154857,1,2,3452.00000000,5.360000,13.200,2.58000,,G5 V,5605.00,1.72,0.665
HD 155193 b,HD 155193,1,1,352.65000000,1.040000,14.000,0.75000,,F8 IV,6239.00,1.22,0.641
HD 155358 b,HD 155358,1,2,194.30000000,0.630000,13.800,0.99000,,G0,5905.00,1.15,0.299
HD 155358 c,HD 155358,1,2,391.90000000,1.020000,13.900,0.82000,,G0,5900.00,0.92,0.299
HD 155918 b,HD 155918,1,2,1.87567000,0.030000,2.670,0.02400,,G2V,5771.84,1.03,0.016
HD 155918 c,HD 155918,1,2,17202.19446000,13.183000,12.800,5.90900,,G2V,5771.84,1.03,0.016
HD 156098 b,HD 156098,1,2,21.85849000,0.167000,4.120,0.05000,,,6419.19,1.29,1.066
HD 156098 c,HD 156098,1,2,7841.58390000,8.415000,12.800,5.22800,,,6419.19,1.29,1.066
HD 156279 b,HD 156279,1,2,133.40355000,0.502000,12.500,9.43200,,G6,5453.00,0.94,-0.146
HD 156279 c,HD 156279,1,2,4818.25358000,5.486000,12.500,9.75000,,G6,5458.24,0.94,-0.146
HD 156411 b,HD 156411,1,1,842.20000000,1.880000,14.000,0.74000,,F8 IV/V,5900.00,1.25,0.731
HD 156668 b,HD 156668,1,2,4.64550000,0.050000,1.870,0.01300,,K2,4850.00,0.77,0.230
HD 156668 c,HD 156668,1,2,811.30000000,1.570000,6.170,0.09910,,K2,4903.69,0.79,-0.537
HD 156846 b,HD 156846,2,1,359.51001000,1.120000,12.400,10.67000,,G0 V,6090.00,1.38,0.697
HD 158038 b,HD 158038,1,1,521.00000000,1.500000,13.500,1.53000,,K0,4860.00,1.30,1.076
HD 158259 b,HD 158259,1,5,2.17800000,,1.285,0.00698,1482,G0,5801.89,1.08,0.212
HD 158259 c,HD 158259,1,5,3.43200000,,2.230,0.01762,,G0,5801.89,1.08,0.212
HD 158259 d,HD 158259,1,5,5.19808140,,2.180,0.01702,,G0,5801.89,1.08,0.212
HD 158259 e,HD 158259,1,5,7.95100000,,2.340,0.01913,,G0,5801.89,1.08,0.212
HD 158259 f,HD 158259,1,5,12.02800000,,2.350,0.01932,,G0,5801.89,1.08,0.212
HD 158996 b,HD 158996,1,1,820.20000000,2.100000,12.300,14.00000,,K5 III,4069.00,1.80,3.015
HD 15906 b,HD 15906,1,2,10.92470900,0.090000,2.240,0.01780,668,K V,4757.00,0.79,-0.569
HD 15906 c,HD 15906,1,2,21.58329800,0.141000,2.930,0.02800,532,K V,4757.00,0.79,-0.569
HD 159243 b,HD 159243,1,2,12.62000000,0.110000,13.700,1.13000,,G0 V,6123.00,1.12,0.114
HD 159243 c,HD 159243,1,2,248.40000000,0.800000,13.400,1.90000,,G0 V,6123.00,1.12,0.114
HD 159868 b,HD 159868,1,2,1184.10000000,2.320000,13.300,2.21800,,G5 V,5534.00,1.19,0.556
HD 159868 c,HD 159868,1,2,351.00000000,1.032000,14.000,0.76800,,G5 V,5534.00,1.19,0.555
HD 1605 b,HD 1605,1,2,577.20000000,1.492000,13.800,0.93400,,K1 IV,4915.00,1.33,0.810
HD 1605 c,HD 1605,1,2,2149.00000000,3.584000,13.000,3.62000,,K1 IV,4915.00,1.33,0.810
HD 160691 b,HD 160691,1,4,645.00000000,1.500000,,4.30000,,G3 IV-V,5773.00,1.13,0.278
HD 160691 c,HD 160691,1,4,3947.00000000,4.170000,,4.40000,,G3 IV-V,5773.00,1.13,0.278
HD 160691 d,HD 160691,1,4,9.63920000,0.092860,3.170,0.03200,900,G3 IV-V,5773.00,1.13,0.278
HD 160691 e,HD 160691,1,4,307.90000000,0.934000,,7.00000,,G3 IV-V,5773.00,1.13,0.278
HD 161178 b,HD 161178,1,1,279.30000000,0.850000,14.100,0.57000,,G9 III,4786.00,1.06,1.751
HD 16141 b,HD 16141,2,1,75.52300000,0.360000,10.900,0.26000,,G5 IV,5757.00,1.11,0.366
HD 16175 b,HD 16175,1,1,990.00000000,2.120000,12.800,5.90000,,G2,5981.00,1.63,0.508
HD 162020 b,HD 162020,1,1,8.42820000,0.080000,12.500,9.84000,650,K3 V,4723.00,0.42,-0.602
HD 163607 b,HD 163607,1,2,75.22030000,0.362000,13.900,0.78360,,G5,5522.00,1.12,0.420
HD 163607 c,HD 163607,1,2,1272.00000000,2.390000,13.300,2.20100,,G5,5522.00,1.12,0.420
HD 16417 b,HD 16417,2,1,17.24000000,0.140000,5.000,0.06960,,G1 V,5841.00,1.20,0.443
HD 164509 b,HD 164509,2,1,280.17000000,0.870000,14.300,0.44300,,G5,5859.00,1.12,0.120
HD 164595 b,HD 164595,2,1,40.00000000,0.230000,4.160,0.05078,,G2 V,5790.00,0.99,0.017
HD 164604 b,HD 164604,1,1,641.47200000,1.331000,13.400,1.99792,,K3.5 V,4684.00,0.77,-0.588
HD 164922 b,HD 164922,1,4,1207.00000000,2.160000,13.300,0.36497,159,G9 V,5390.00,0.93,-0.149
HD 164922 c,HD 164922,1,4,75.74000000,0.341000,3.660,0.04090,400,G9 V,5390.00,0.93,-0.149
HD 164922 d,HD 164922,1,4,12.45800000,0.103000,1.830,0.01259,,G9 V,5390.00,0.93,-0.149
HD 164922 e,HD 164922,1,4,41.76300000,0.229200,3.230,0.03310,,G9 V,5393.43,0.92,-0.140
HD 165131 b,HD 165131,1,1,2342.60000000,3.540000,12.100,18.70000,,G3/5 V,5870.00,1.06,0.083
HD 165155 b,HD 165155,1,1,434.50000000,1.130000,13.200,2.89000,,G8 V,5426.00,1.02,-0.155
HD 1666 b,HD 1666,1,1,270.00000000,0.940000,12.700,6.43000,,F7 V,6317.00,1.50,0.730
HD 166724 b,HD 166724,1,1,5144.00000000,5.420000,13.000,3.80000,,K0 IV-V,5127.00,0.81,-0.509
HD 167042 b,HD 167042,1,1,420.77000000,1.320000,13.500,1.70000,,K1 IV,5010.00,1.72,1.023
HD 167677 b,HD 167677,1,1,1820.00000000,2.877000,13.200,2.85000,,G5 V,5474.00,0.96,-0.132
HD 167768 b,HD 167768,1,1,20.65320000,0.151200,13.900,0.85000,,G8 III,4851.00,1.08,1.669
HD 168009 b,HD 168009,1,1,15.14790000,0.119200,3.050,0.03000,,G2V,5778.33,0.99,0.150
HD 168443 b,HD 168443,1,2,58.11187000,0.292000,12.600,7.62800,,G5,5491.00,0.98,0.382
HD 168443 c,HD 168443,1,2,1753.10960000,2.842000,12.200,17.30600,,G5,5491.00,0.98,0.382
HD 168746 b,HD 168746,1,1,6.40400000,0.070000,11.100,0.27000,900,G5,5570.00,1.07,0.041
HD 168863 b,HD 168863,1,1,14773.93272000,10.961000,12.700,6.78000,,,4905.00,0.80,-0.501
HD 1690 b,HD 1690,1,1,533.00000000,1.360000,12.500,8.79000,,K1 III,4374.00,1.86,1.520
HD 16905 b,HD 16905,1,1,6707.49126000,6.443000,12.500,9.06500,,,4866.12,0.79,-0.518
HD 169142 b,HD 169142,1,1,,37.200000,13.100,3.00000,,,7246.00,1.85,0.768
HD 169830 b,HD 169830,1,2,225.67372000,0.765000,13.200,2.53100,345,F8 V,6300.00,1.17,0.662
HD 169830 c,HD 169830,1,2,1818.82339000,3.075000,12.600,7.66900,,F8 V,6179.26,1.17,0.662
HD 170469 b,HD 170469,2,1,1145.00000000,2.240000,14.100,0.66000,,G5 IV,5842.00,1.10,0.204
HD 17092 b,HD 17092,1,1,359.89999000,1.310000,12.500,10.13000,,K0 III,4326.00,6.73,1.756
HD 171028 b,HD 171028,1,1,550.00000000,1.320000,13.200,2.62000,,G0,5671.00,1.53,0.733
HD 171238 b,HD 171238,1,1,1532.00000000,2.570000,12.500,8.80000,,G8 V,5440.00,0.96,-0.090
HD 17156 b,HD 17156,1,1,21.21663000,0.162780,12.330,3.51000,883,G5,6040.00,1.41,0.390
HD 173416 b,HD 173416,1,1,323.60000000,1.160000,13.200,2.70000,,G8,4683.00,2.00,1.892
HD 174205 b,HD 174205,1,1,582.00000000,1.700000,13.000,4.20000,,K2,4308.00,1.80,2.378
HD 175167 b,HD 175167,1,1,1276.07604000,2.307000,12.700,6.41100,,G5 IV/V,5635.00,1.00,0.456
HD 175541 b,HD 175541,1,1,298.43000000,0.975000,14.100,0.59800,,G8 IV,5013.00,1.39,0.934
HD 175607 b,HD 175607,1,1,29.01000000,,2.940,0.02825,,G6 V,5392.00,0.71,-0.271
HD 17674 b,HD 17674,1,1,623.80000000,1.420000,13.900,0.87000,,G0 V,5904.00,0.98,0.205
HD 176986 b,HD 176986,1,2,6.48980000,0.062960,2.260,0.01806,,K2.5 V,4931.00,0.79,-0.480
HD 176986 c,HD 176986,1,2,16.81910000,0.118780,2.980,0.02888,,K2.5 V,4931.00,0.79,-0.480
HD 177565 b,HD 177565,1,1,44.50500000,0.246000,4.000,0.04751,,G8V,5627.00,1.00,-0.054
HD 177830 b,HD 177830,2,2,410.10001000,1.140000,13.500,1.69000,,K0,4901.00,1.70,0.685
HD 177830 c,HD 177830,2,2,110.90000000,0.513700,7.870,0.15000,,K0,4949.00,1.47,0.685
HD 178911 B b,HD 178911 B,3,1,71.48400000,0.340000,12.600,8.03000,,G5,5588.00,1.24,-0.043
HD 179079 b,HD 179079,1,1,14.47900000,0.121400,5.480,0.08100,,G5 IV,5646.00,1.14,0.380
HD 179949 b,HD 179949,1,1,3.09251400,0.044300,13.900,0.91600,,F8 V,6168.00,1.21,0.301
HD 180053 b,HD 180053,1,1,213.72000000,0.843000,13.300,2.19400,,K0,5131.00,1.75,1.099
HD 18015 b,HD 18015,1,1,2278.00000000,3.870000,13.100,3.30000,,G6 IV,5603.00,1.49,0.974
HD 180314 b,HD 180314,1,1,396.03000000,1.460000,12.100,20.13000,,K0,4924.00,2.20,1.643
HD 180617 b,HD 180617,2,1,105.91100000,0.343000,3.530,0.03843,,M2.5 V,3534.00,0.48,-1.490
HD 180902 b,HD 180902,2,1,510.90000000,1.400000,13.500,1.68500,,K0 III/IV,4961.00,1.41,0.973
HD 181234 b,HD 181234,1,1,7593.40512000,7.427000,12.500,9.37900,,G8 IV,5386.00,0.94,-0.099
HD 181342 b,HD 181342,1,1,564.10000000,1.592000,13.200,2.54000,,K0 III,4945.00,1.69,1.079
HD 18143 b,HD 18143,1,2,10.28510000,0.088000,3.280,0.03400,,K2,5078.00,0.85,-0.320
HD 18143 c,HD 18143,1,2,28982.41764000,17.530000,12.500,9.99800,,K2,5078.00,0.85,-0.320
HD 181433 b,HD 181433,1,3,9.37430000,0.080000,2.400,0.02000,,K3 IV,4918.00,0.63,-0.456
HD 181433 c,HD 181433,1,3,962.00000000,1.760000,14.100,0.64000,,K3 IV,4962.00,0.78,-0.511
HD 181433 d,HD 181433,1,3,2172.00000000,3.000000,14.200,0.54000,,K3 IV,4962.00,0.78,-0.511
HD 181720 b,HD 181720,1,1,956.00000000,1.850000,14.000,0.40000,,G1 V,5736.00,1.03,0.288
HD 183263 b,HD 183263,1,2,624.87404000,1.460000,13.100,3.47100,,G2 IV,5948.00,1.06,0.250
HD 183263 c,HD 183263,1,2,4667.97841000,5.585000,12.500,9.31000,,G2 IV,5875.99,1.06,0.250
HD 183579 b,HD 183579,1,1,17.47127800,0.133400,3.550,0.06198,769,G2 V,5788.00,1.03,0.012
HD 184010 b,HD 184010,1,3,286.60000000,0.940000,12.100,0.31000,,K0 III-IV,4971.00,1.35,1.117
